invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2019-08-01,21,1,21,131,96.25000000000001
2019-08-08,30,1,30,299,60.76
2019-08-09,12,1,12,127,27.21999999999999
2019-08-16,44,3,43,365,155.37
2019-08-22,39,2,38,210,195.38
2019-08-28,12,1,12,118,27.51
2019-08-30,18,2,18,203,53.50999999999999
2019-09-06,45,1,45,372,167.87999999999997
2019-09-16,20,1,20,196,50.76
2019-09-18,32,1,32,261,127.90000000000003
2019-09-19,30,2,29,246,102.31000000000002
2019-09-25,40,1,40,243,181.44999999999996
2019-10-01,17,1,17,118,69.01
2019-10-07,17,1,17,147,47.72
2019-10-08,15,1,15,159,43.699999999999996
2019-10-10,51,1,51,557,114.06999999999994
2019-10-11,23,1,23,172,82.21000000000001
2019-10-14,22,1,22,190,73.69000000000001
2019-10-18,13,1,13,121,59.25
2019-10-21,3,2,3,1,15.85
2019-10-23,33,1,33,209,220.36
2019-10-25,27,1,27,147,136.44000000000003
2019-10-27,22,1,22,259,43.33000000000001
2019-10-28,24,1,24,124,164.2
2019-11-01,72,2,71,600,240.12999999999985
2019-11-04,24,2,23,202,80.12
2019-11-05,28,2,27,212,106.48
2019-11-07,1,1,1,1,19.95
2019-11-14,62,2,61,520,250.0
2019-11-15,17,1,17,171,87.74000000000001
2019-11-17,15,1,15,110,59.88000000000001
2019-11-19,21,1,21,185,55.400000000000006
2019-11-21,1,1,1,0,2.55
2019-11-25,3,1,3,6,21.95
2019-11-26,5,1,5,21,61.9
2019-11-29,31,2,31,274,42.56000000000002
2019-12-03,50,2,49,360,199.26000000000005
2019-12-06,17,1,17,192,32.22
