invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2019-08-01,62,2,31,411,202.42000000000002
2019-08-02,147,1,143,680,511.63999999999953
2019-08-05,59,2,59,389,203.90999999999994
2019-08-07,22,2,22,235,1201.1999999999991
2019-08-08,37,2,35,414,116.28000000000002
2019-08-09,76,2,68,704,241.72
2019-08-11,1,1,1,0,434.51
2019-08-12,31,1,31,313,89.32000000000002
2019-08-13,4,1,4,8,26.740000000000002
2019-08-14,71,3,69,612,294.93999999999994
2019-08-15,19,2,19,49,88.37000000000002
2019-08-16,49,1,49,426,127.50000000000001
2019-08-18,16,1,16,123,115.71000000000001
2019-08-20,40,3,40,394,128.87
2019-08-23,70,2,69,577,291.68
2019-08-27,8,2,8,19,23.08
2019-08-29,21,2,21,293,71.60999999999999
2019-08-30,26,1,25,163,130.78000000000003
2019-09-01,6,1,6,81,7.509999999999999
2019-09-02,57,4,55,710,158.11999999999998
2019-09-03,63,2,63,666,285.49999999999994
2019-09-04,188,4,175,1576,646.22
2019-09-05,106,2,96,858,383.41999999999996
2019-09-06,6,2,5,18,39.3
2019-09-11,54,3,53,428,154.30999999999997
2019-09-12,27,3,26,250,173.49999999999994
2019-09-16,25,2,25,150,125.30000000000003
2019-09-17,105,3,104,833,309.1499999999997
2019-09-18,11,1,11,85,237.79999999999998
2019-09-19,72,3,72,563,238.76999999999992
2019-09-20,187,3,185,1270,737.2000000000002
2019-09-23,59,2,56,469,275.60999999999996
2019-09-24,19,2,19,200,70.95
2019-09-25,120,6,117,898,538.2899999999998
2019-09-27,63,5,62,576,263.8499999999998
2019-10-03,24,1,24,194,125.48
2019-10-04,51,1,51,366,225.0999999999999
2019-10-07,83,4,83,590,296.67999999999995
2019-10-08,85,3,85,841,174.20999999999998
2019-10-09,151,7,144,1000,690.47
2019-10-11,19,1,19,166,75.47
2019-10-14,140,7,132,1117,577.6500000000002
2019-10-15,51,2,49,414,193.96000000000004
2019-10-16,58,1,58,495,205.68999999999994
2019-10-17,136,3,134,1376,323.90999999999985
2019-10-18,53,2,53,398,188.1999999999999
2019-10-21,17,2,17,132,109.86
2019-10-24,3,1,3,5,19.45
2019-10-27,21,1,21,159,115.5
2019-10-28,37,1,37,285,145.93
2019-10-29,95,2,90,756,334.96999999999974
2019-10-30,2,1,2,7,16.75
2019-11-01,2,2,2,3,4.89
2019-11-04,36,4,32,320,281.7199999999999
2019-11-05,7,3,7,11,20.189999999999998
2019-11-06,22,2,21,219,51.15
2019-11-07,48,1,48,339,208.6699999999999
2019-11-08,84,3,78,905,329.0599999999998
2019-11-10,133,4,126,1268,441.7899999999996
2019-11-11,23,1,23,177,114.19000000000001
2019-11-12,73,5,66,634,388.63
2019-11-13,48,3,45,513,229.15000000000006
2019-11-14,77,2,77,568,310.52999999999986
2019-11-15,55,3,51,293,230.84999999999994
2019-11-17,41,1,41,353,150.85999999999999
2019-11-18,51,2,51,452,139.41999999999996
2019-11-19,91,4,87,760,328.06999999999994
2019-11-20,12,2,12,70,92.67
2019-11-21,10,1,10,67,82.43
2019-11-22,6,1,6,48,71.52
2019-11-24,22,1,22,208,88.58
2019-11-25,102,2,99,875,346.51000000000005
2019-11-27,58,3,53,408,345.9499999999999
2019-11-28,50,5,48,376,296.28
2019-12-01,30,1,30,317,49.62
2019-12-02,17,2,17,158,111.80000000000001
2019-12-04,166,3,161,1515,538.6899999999995
2019-12-05,72,1,72,637,218.65999999999997
