invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2019-08-01,34,1,34,281,92.83999999999999
2019-08-02,35,2,34,327,101.23999999999997
2019-08-07,14,1,14,136,21.1
2019-08-09,27,2,27,159,98.69000000000001
2019-08-11,2,1,2,3,29.7
2019-08-12,37,1,37,308,157.07999999999998
2019-08-14,29,1,29,303,53.78000000000001
2019-08-15,46,2,43,385,149.57
2019-08-16,35,1,35,376,76.32000000000002
2019-08-18,30,2,28,245,115.96000000000001
2019-08-20,44,2,42,377,129.04000000000008
2019-08-21,23,2,23,172,90.36
2019-08-22,122,4,111,1195,311.05999999999983
2019-08-23,48,1,48,483,109.86999999999998
2019-08-28,32,4,28,316,245.5600000000001
2019-08-30,37,3,36,359,126.30000000000005
2019-09-01,50,1,50,400,151.17
2019-09-02,37,3,36,271,158.98
2019-09-04,135,3,114,1299,321.7199999999997
2019-09-05,87,2,84,742,218.2699999999998
2019-09-06,105,3,95,952,292.8699999999998
2019-09-08,7,1,7,43,34.99
2019-09-10,2,1,2,1,19.06
2019-09-11,21,1,21,222,35.040000000000006
2019-09-12,50,4,49,506,208.70999999999998
2019-09-13,1,1,1,0,4.25
2019-09-16,108,4,96,757,434.07
2019-09-17,24,1,24,198,58.78000000000001
2019-09-18,60,4,55,495,168.82000000000002
2019-09-19,78,5,71,604,307.05
2019-09-20,38,1,38,321,99.88000000000001
2019-09-22,35,2,35,221,164.64999999999995
2019-09-23,2,1,2,1,5.0
2019-09-24,13,3,13,70,64.1
2019-09-25,29,1,29,219,100.98
2019-09-26,79,4,72,709,232.42999999999984
2019-09-27,57,3,52,632,186.5999999999999
2019-09-30,77,1,66,158,192.27000000000007
2019-10-01,15,2,15,115,70.24
2019-10-02,143,4,135,1032,447.71999999999963
2019-10-03,10,2,10,30,62.3
2019-10-04,38,2,36,363,88.44000000000001
2019-10-07,25,3,24,203,86.44
2019-10-08,262,2,262,2220,756.1600000000007
2019-10-09,52,5,45,453,184.21000000000004
2019-10-10,12,1,12,99,48.68
2019-10-11,29,2,29,223,108.77999999999999
2019-10-14,1,1,1,2,1.06
2019-10-15,2,2,1,5,2.12
2019-10-16,35,2,34,291,150.91000000000003
2019-10-17,39,1,39,420,107.73999999999998
2019-10-24,53,7,47,354,12701.820000000005
2019-10-25,63,3,63,780,257.25999999999993
2019-10-27,15,1,15,153,44.61
2019-10-28,27,2,26,241,46.18999999999998
2019-10-29,72,4,67,558,251.81999999999994
2019-10-30,22,1,22,203,80.48
2019-10-31,87,5,83,747,238.81999999999988
2019-11-01,81,3,75,329,156.55
2019-11-04,31,1,31,161,88.75000000000001
2019-11-05,60,3,59,532,163.84000000000003
2019-11-06,54,2,53,474,183.62
2019-11-07,161,7,132,985,388.0399999999996
2019-11-08,117,6,106,1012,325.48999999999984
2019-11-10,17,1,17,69,34.260000000000005
2019-11-11,80,3,68,757,235.94000000000003
2019-11-12,39,2,37,400,150.71000000000004
2019-11-13,24,2,24,283,101.81000000000002
2019-11-14,150,5,134,1207,497.50999999999965
2019-11-15,44,3,41,384,167.77
2019-11-17,39,2,39,268,172.22
2019-11-18,16,1,16,173,35.38999999999999
2019-11-19,41,2,37,294,179.62
2019-11-20,28,2,26,173,76.09
2019-11-21,140,3,136,744,532.5499999999998
2019-11-22,56,4,50,529,158.45000000000002
2019-11-25,41,5,22,283,195.45999999999995
2019-11-26,37,2,34,310,132.69000000000003
2019-11-27,143,7,125,1324,440.1999999999996
2019-11-28,32,2,30,315,102.43
2019-11-29,78,5,71,654,228.76999999999998
2019-12-01,55,3,52,465,186.4599999999999
2019-12-02,35,2,34,322,106.73000000000003
2019-12-03,79,4,75,621,268.47999999999996
2019-12-04,39,2,37,387,136.98000000000002
2019-12-05,6,2,6,26,52.9
2019-12-06,15,1,15,105,44.5
