invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2019-08-01,56,3,55,478,210.34999999999994
2019-08-02,56,3,55,462,159.12999999999997
2019-08-04,6,1,6,60,12.26
2019-08-05,19,1,19,176,56.209999999999994
2019-08-06,5,1,5,35,29.439999999999998
2019-08-08,1,1,1,2,9.95
2019-08-09,4,1,4,10,12.950000000000001
2019-08-12,11,1,11,106,29.64
2019-08-13,5,1,5,22,35.300000000000004
2019-08-14,39,2,38,331,151.97999999999996
2019-08-16,34,4,32,283,128.74
2019-08-18,18,1,18,175,51.170000000000016
2019-08-19,79,3,75,706,226.32999999999996
2019-08-20,37,4,36,311,102.07000000000001
2019-08-21,90,8,72,839,278.9
2019-08-22,15,2,14,78,74.62
2019-08-23,29,2,28,214,92.75
2019-08-27,21,1,21,133,126.23
2019-08-28,146,3,142,1238,552.86
2019-08-29,2,2,2,3,10.6
2019-08-30,34,3,34,244,94.20000000000002
2019-09-01,133,5,119,1047,349.80999999999966
2019-09-02,4,1,4,11,15.640000000000002
2019-09-03,55,4,52,478,188.50999999999993
2019-09-05,39,4,35,429,142.64000000000001
2019-09-06,8,2,8,20,29.809999999999995
2019-09-08,95,3,88,758,319.2699999999999
2019-09-10,7,1,7,66,24.4
2019-09-11,19,1,19,172,74.17000000000002
2019-09-13,42,5,38,371,177.78000000000003
2019-09-16,43,5,40,354,148.57000000000002
2019-09-17,10,2,10,88,17.3
2019-09-18,63,2,59,584,166.95999999999995
2019-09-19,28,3,25,236,121.46000000000002
2019-09-20,97,4,88,905,264.0299999999999
2019-09-23,19,1,19,174,84.34000000000003
2019-09-24,25,2,25,191,71.44000000000001
2019-09-25,22,3,22,145,101.05
2019-09-26,45,3,42,400,124.27
2019-09-27,17,1,17,132,56.72000000000001
2019-10-01,2,1,2,5,4.970000000000001
2019-10-02,106,4,92,1067,535.31
2019-10-03,190,10,166,1700,632.7400000000006
2019-10-04,92,5,86,832,327.8
2019-10-07,18,2,18,120,68.67999999999999
2019-10-08,50,2,48,453,175.47
2019-10-09,63,5,58,594,191.0099999999999
2019-10-10,102,5,98,858,314.3599999999999
2019-10-11,55,5,52,474,1446.9700000000003
2019-10-14,200,4,183,1953,458.27999999999946
2019-10-15,62,3,58,565,218.2
2019-10-16,129,6,122,1106,373.04000000000013
2019-10-17,61,3,59,522,185.88999999999996
2019-10-18,21,2,21,138,118.45000000000003
2019-10-20,2,1,2,4,15.7
2019-10-21,3,1,3,6,11.8
2019-10-22,34,2,34,329,139.33999999999995
2019-10-23,7,2,6,24,68.32
2019-10-24,31,3,29,245,115.43000000000005
2019-10-25,51,3,49,465,191.82
2019-10-28,43,4,41,320,169.17000000000002
2019-10-30,12,2,12,68,64.28
2019-10-31,34,2,33,310,106.95000000000003
2019-11-01,2,1,2,5,14.15
2019-11-03,39,3,36,366,121.24999999999999
2019-11-04,26,2,25,227,95.73000000000002
2019-11-05,23,3,22,45,74.43
2019-11-06,7,2,7,64,50.1
2019-11-07,26,7,19,167,2134.8000000000006
2019-11-08,181,8,157,1184,543.2899999999997
2019-11-11,25,4,24,154,119.30000000000003
2019-11-12,50,2,47,494,132.88000000000005
2019-11-13,144,11,117,1240,485.1299999999995
2019-11-14,103,7,97,1015,429.83999999999986
2019-11-15,22,5,20,135,128.18
2019-11-17,12,1,12,53,65.30000000000001
2019-11-18,44,4,41,264,219.61999999999995
2019-11-19,62,3,60,454,207.61999999999998
2019-11-20,45,3,42,264,112.02000000000002
2019-11-21,136,8,120,1082,540.6399999999992
2019-11-22,17,1,17,45,64.76
2019-11-25,70,3,68,598,227.55999999999992
2019-11-26,52,4,47,513,172.52999999999997
2019-11-27,16,2,15,122,84.30000000000001
2019-11-28,34,2,33,213,150.12999999999997
2019-11-29,9,2,9,20,50.870000000000005
2019-12-01,51,3,48,419,185.05
2019-12-02,19,3,18,128,89.45
2019-12-03,3,2,3,8,4.15
2019-12-04,72,4,65,615,460.3299999999999
2019-12-05,70,2,70,630,192.3299999999999
2019-12-06,82,4,71,745,279.0599999999999
