invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2019-08-06,106,2,106,1111,206.40999999999988
2019-08-08,119,1,119,1577,269.38999999999993
2019-08-09,7,1,7,102,5.589999999999999
2019-08-15,1,1,1,0,206.4
2019-08-20,2,1,2,14,2.95
2019-08-23,46,3,44,578,121.98000000000002
2019-08-28,3,1,3,3,2.72
2019-09-05,52,2,52,523,129.23000000000002
2019-09-06,8,1,8,111,26.04
2019-09-10,57,1,57,758,347.02
2019-09-16,104,2,103,1313,365.15000000000015
2019-09-19,21,1,21,191,49.73
2019-10-02,4,1,4,4,91.85000000000001
2019-10-03,23,3,22,115,67.17999999999999
2019-10-04,11,1,11,145,25.35
2019-10-15,29,1,29,235,103.69000000000001
2019-10-17,146,3,145,1733,363.4700000000002
2019-10-18,37,3,37,323,83.86
2019-10-24,28,3,28,369,49.23
2019-10-30,70,3,70,418,137.43000000000004
2019-11-07,65,3,64,839,169.98000000000002
2019-11-13,3,1,3,35,18.2
2019-11-15,2,1,2,25,19.25
2019-11-17,9,2,8,86,40.97
2019-11-19,19,2,18,195,72.32999999999998
2019-11-20,54,3,54,589,142.40000000000003
2019-11-27,4,1,4,39,21.240000000000002
2019-12-04,85,2,83,1060,199.6
2019-12-05,1,1,1,3,1.79
