invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2019-08-12,41,1,41,511,51.559999999999995
2019-08-30,20,1,20,190,39.59
2019-09-19,36,1,36,321,92.32000000000001
2019-09-22,18,1,18,160,59.85000000000001
2019-10-03,223,2,172,941,445.96999999999923
2019-10-08,55,1,55,478,203.53999999999994
2019-10-10,61,1,61,584,132.00000000000003
2019-10-11,34,1,34,189,196.51
2019-10-14,29,5,26,274,1297.96
2019-10-16,2,1,2,5,59.9
2019-10-22,39,1,39,136,107.68000000000004
2019-10-31,12,1,12,80,41.29
2019-11-04,13,1,13,80,64.70000000000002
2019-11-08,7,1,7,45,14.610000000000001
2019-11-11,22,2,22,213,83.02000000000002
2019-11-14,2,1,2,5,23.7
2019-11-18,14,1,14,68,107.73000000000002
2019-11-21,74,2,63,416,198.1900000000001
2019-11-27,1,1,1,2,28.0
2019-11-29,48,1,48,568,107.41999999999997
2019-12-02,14,1,14,113,62.92
2019-12-03,22,1,22,199,92.53000000000002
2019-12-04,18,2,18,135,86.18
