invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2019-08-01,1839,99,905,12229,6477.519999999945
2019-08-02,1455,66,842,7801,4666.739999999976
2019-08-04,541,33,409,3232,1310.7500000000034
2019-08-05,1490,57,830,7908,8444.059999999994
2019-08-06,1119,60,665,6769,4280.669999999987
2019-08-07,1376,62,833,7142,6398.079999999981
2019-08-08,1984,85,1059,13323,14197.549999999994
2019-08-09,1122,61,717,6696,-6946.4400000000505
2019-08-11,557,37,390,2169,2148.460000000003
2019-08-12,926,54,619,6393,2759.8399999999965
2019-08-13,1035,63,674,7328,3041.8499999999995
2019-08-14,1666,64,946,10088,8401.739999999956
2019-08-15,1539,100,879,11527,4655.2299999999705
2019-08-16,819,61,562,6662,2273.5900000000024
2019-08-18,1070,42,658,5007,3326.299999999994
2019-08-19,1272,68,732,9423,3599.8799999999833
2019-08-20,1458,73,823,9432,4402.6399999999785
2019-08-21,1876,102,965,11438,18434.440000000122
2019-08-22,1342,93,798,9236,5540.049999999962
2019-08-23,929,55,628,7734,2623.569999999993
2019-08-25,1200,39,736,4998,2839.4300000000035
2019-08-27,3235,50,1310,8566,15682.569999999674
2019-08-28,1305,117,847,6700,6112.92999999999
2019-08-29,1405,81,777,10798,3538.2299999999864
2019-08-30,2376,107,1140,9914,10831.839999999922
2019-09-01,1343,53,825,7469,3688.449999999982
2019-09-02,1587,78,897,10214,4608.139999999974
2019-09-03,1140,70,710,8241,3456.819999999988
2019-09-04,2112,60,1094,10278,10083.68999999992
2019-09-05,1779,90,945,10079,5506.239999999984
2019-09-06,1607,88,926,10013,5801.749999999984
2019-09-08,2032,78,1019,11939,5891.449999999968
2019-09-09,1702,96,916,11077,5365.919999999976
2019-09-10,2438,82,1098,14209,8955.439999999997
2019-09-11,1376,93,870,7902,4233.43999999997
2019-09-12,2197,115,1022,13514,25498.230000000145
2019-09-13,1475,84,825,10142,7239.679999999983
2019-09-15,1274,28,830,5728,3659.5199999999786
2019-09-16,1436,100,786,11083,9538.99000000002
2019-09-17,1718,77,900,10429,7132.649999999964
2019-09-18,3129,107,1345,13512,14382.709999999994
