invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2019-08-01,1606,85,841,10580,5496.379999999957
2019-08-02,1163,59,730,5928,3631.149999999986
2019-08-04,535,32,404,3172,1298.490000000003
2019-08-05,1347,51,781,6748,7920.309999999995
2019-08-06,1005,56,622,5615,3999.969999999985
2019-08-07,1273,55,801,6268,4821.3499999999985
2019-08-08,1771,78,1004,10761,13649.680000000015
2019-08-09,924,52,652,4978,-7602.190000000039
2019-08-11,553,34,388,2166,1679.3000000000043
2019-08-12,761,49,544,4853,2240.37
2019-08-13,970,58,649,7160,2780.790000000002
2019-08-14,1515,56,884,8703,7854.879999999978
2019-08-15,1204,92,721,8426,3282.5899999999865
2019-08-16,593,50,435,4707,1558.340000000005
2019-08-18,998,35,631,4401,3010.699999999995
2019-08-19,1160,62,693,8499,3156.889999999989
2019-08-20,1150,55,702,6951,3030.379999999998
2019-08-21,1745,91,936,10212,18001.820000000058
2019-08-22,1122,82,716,7386,4779.459999999971
2019-08-23,716,46,496,5729,1894.980000000005
2019-08-25,1078,38,664,4366,2535.150000000003
2019-08-27,3202,45,1303,8388,15480.069999999676
2019-08-28,1091,105,751,4963,5190.599999999992
2019-08-29,1320,73,746,9887,3245.6499999999896
2019-08-30,2150,94,1084,8323,10167.60999999993
2019-09-01,1154,46,738,5941,3179.9599999999846
2019-09-02,1412,66,814,8728,3819.8999999999787
2019-09-03,1021,63,659,7092,2942.8099999999895
2019-09-04,1789,53,1007,7403,9115.749999999953
2019-09-05,1472,79,851,7361,4502.679999999993
2019-09-06,1327,77,822,7499,4958.609999999983
2019-09-08,1930,74,987,11138,5537.189999999971
2019-09-09,1702,96,916,11077,5365.919999999976
2019-09-10,2351,77,1085,13184,8493.339999999987
2019-09-11,1244,86,801,6756,3866.6899999999737
2019-09-12,2099,106,1001,12592,24974.11000000013
2019-09-13,1398,77,797,9476,6959.719999999988
2019-09-15,1274,28,830,5728,3659.5199999999786
2019-09-16,996,80,633,6768,2695.879999999994
2019-09-17,1544,68,842,9155,6500.869999999976
2019-09-18,2881,92,1299,11395,13403.089999999962
2019-09-19,2423,130,1138,16195,7079.059999999928
2019-09-20,2268,88,1169,11340,8423.149999999989
2019-09-22,1893,72,942,11667,5219.240999999971
2019-09-23,1441,73,872,8866,5599.710999999988
2019-09-24,1821,107,1002,11040,6573.449999999972
2019-09-25,2528,94,1204,12230,7829.329999999973
2019-09-26,2352,107,1117,16168,6699.429999999941
2019-09-27,1743,84,941,10329,6476.789999999959
2019-09-29,1429,36,863,5354,3742.429999999989
2019-09-30,2215,88,1084,12386,12472.780000000033
2019-10-01,2723,93,1179,13540,9879.140000000052
2019-10-02,1931,89,984,11666,5760.149999999967
2019-10-03,2681,197,1223,15269,8451.849999999919
2019-10-04,2167,95,1012,11808,12425.41000000007
2019-10-06,1292,41,811,5026,3418.619999999982
2019-10-07,2988,128,1281,13683,13815.200000000088
2019-10-08,1925,93,1039,11079,6548.079999999966
2019-10-09,1749,85,981,9549,5859.309999999993
2019-10-10,1924,94,1060,9245,6923.149999999961
2019-10-11,1581,73,932,9408,4985.549999999963
2019-10-13,1254,39,800,6051,4307.239999999972
2019-10-14,2502,87,1234,11719,10254.329999999982
2019-10-15,2577,97,1171,13453,8142.909999999986
2019-10-16,2050,93,1117,10363,7511.259999999994
2019-10-17,1914,95,994,10899,5998.479999999954
2019-10-18,1250,58,746,8764,3583.9599999999878
2019-10-20,1726,44,969,6008,4737.48999999998
2019-10-21,2905,134,1345,12523,16714.20000000014
2019-10-22,2310,107,1104,13655,6862.939999999947
2019-10-23,1808,98,1012,9239,6694.459999999942
2019-10-24,2320,119,1097,13483,7378.96999999997
2019-10-25,1388,89,791,7716,5012.979999999978
2019-10-27,2705,91,1148,12739,6795.109999999941
2019-10-28,3207,98,1584,13392,26498.20999999999
2019-10-29,1618,98,866,8650,4593.749999999975
2019-10-30,2478,105,1219,12258,8872.6
2019-10-31,2247,113,1178,12289,7278.529999999961
2019-11-01,2747,128,1219,15826,7635.63
2019-11-03,3148,96,1223,13965,8445.429999999913
2019-11-04,1960,103,1025,10848,21986.290000000383
2019-11-05,3926,131,1472,17411,16312.87999999995
2019-11-06,2633,121,1231,15789,8496.289999999957
2019-11-07,2928,162,1252,17285,10281.159999999962
2019-11-08,3675,98,1485,16053,12734.000000000045
2019-11-10,2831,87,1221,12971,8542.989999999985
2019-11-11,3377,135,1404,16564,13759.940000000035
2019-11-12,3248,130,1460,14330,12458.140000000105
2019-11-13,3957,143,1516,17941,15905.34000000012
2019-11-14,3053,142,1349,15227,9560.920000000033
2019-11-15,2539,142,1185,12822,10676.200000000044
2019-11-17,3179,96,1260,12940,9807.769999999982
2019-11-18,2710,112,1210,13664,8206.809999999949
2019-11-19,3702,158,1490,16887,12002.900000000118
2019-11-20,3432,136,1392,18316,15911.360000000066
2019-11-21,3354,128,1445,14577,12055.29999999992
2019-11-22,2997,91,1358,11407,13976.810000000089
2019-11-24,2521,59,1120,8807,6409.139999999951
2019-11-25,3114,115,1398,14991,13084.030000000112
2019-11-26,4166,140,1542,16840,18226.610000000088
2019-11-27,3100,144,1341,14336,14420.160000000024
2019-11-28,2776,158,1246,14607,9712.410000000016
2019-11-29,2690,128,1277,13440,9738.800000000087
2019-12-01,1902,65,1000,7932,5167.879999999948
2019-12-02,5200,137,1747,23479,56652.999999999185
2019-12-03,3147,136,1407,15888,9512.650000000029
2019-12-04,1987,121,1010,12686,7501.389999999969
2019-12-05,4772,136,1646,19576,21259.84000000001
2019-12-06,1452,41,1031,6153,8713.699999999953
