invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2017-11-28,86,3,83,545,375.99
2017-11-30,33,1,33,192,194.2199999999999
2017-12-04,64,4,61,403,484.64999999999986
2017-12-05,30,5,30,255,97.35000000000002
2017-12-07,19,1,19,104,133.31
2017-12-08,2,2,2,7,20.9
2017-12-10,14,1,14,126,96.24000000000001
2017-12-11,5,1,5,7,17.7
2017-12-12,100,2,89,733,435.5799999999998
2017-12-13,49,1,49,359,153.41
2017-12-14,2,2,1,1,1606.5
2017-12-15,156,5,134,1132,733.6000000000001
2017-12-17,1,1,1,0,5.95
2017-12-18,35,1,35,408,77.69000000000003
2018-01-01,2,1,2,4,14.0
2018-01-04,163,5,158,1826,466.54999999999995
2018-01-05,33,4,31,260,2463.67
2018-01-08,1,1,1,8,10.95
2018-01-10,3,3,1,9,1874.42
2018-01-16,49,1,49,320,209.52
2018-01-17,8,5,6,41,2277.0199999999995
2018-01-18,74,1,74,759,247.62999999999977
2018-01-19,124,6,118,930,3644.489999999998
2018-01-22,23,1,23,172,146.11999999999998
2018-01-23,14,14,1,13,1682.4699999999998
2018-01-25,62,1,62,524,182.51999999999992
2018-01-28,24,1,24,254,60.800000000000004
2018-01-30,107,5,100,999,1545.5800000000022
2018-02-04,34,1,34,436,65.28000000000002
2018-02-05,23,3,22,132,865.3000000000001
2018-02-11,22,1,22,215,89.69000000000003
2018-02-12,10,2,10,40,28.770000000000003
2018-02-13,53,2,53,241,138.18
2018-02-14,101,3,99,909,386.05
2018-02-15,2,2,2,5,11.549999999999999
2018-02-18,39,1,39,295,178.85
2018-02-19,11,1,11,132,61.19
2018-02-21,120,4,113,907,427.7699999999999
2018-02-28,103,5,96,1088,271.15999999999997
2018-03-01,67,2,62,530,297.84000000000003
2018-03-02,17,2,17,179,11.13
2018-03-06,6,2,6,14,69.25
2018-03-07,36,2,36,202,189.00999999999996
2018-03-09,36,1,36,316,174.55999999999995
2018-03-12,71,2,70,495,281.16999999999973
2018-03-13,1,1,1,4,3.75
2018-03-14,19,1,19,112,113.53000000000002
2018-03-15,42,2,42,328,215.43999999999988
2018-03-16,58,1,58,415,260.5099999999998
2018-03-19,33,1,33,315,90.57000000000002
2018-03-20,16,1,16,100,107.75000000000001
2018-03-21,31,9,27,122,1972.2800000000007
2018-03-22,91,2,81,543,369.5299999999997
2018-03-23,31,1,31,222,164.94999999999996
2018-03-27,81,3,81,559,365.5699999999999
2018-04-04,15,1,15,122,74.54000000000002
2018-04-09,51,3,51,521,153.23999999999998
2018-04-10,42,3,42,516,98.62000000000002
2018-04-11,53,1,53,526,130.95999999999998
2018-04-16,101,3,94,906,384.0500000000001
2018-04-17,36,1,36,288,154.41000000000005
2018-04-19,63,3,61,553,245.87999999999997
2018-04-22,40,1,40,250,197.44999999999993
2018-04-23,103,4,99,909,1057.4900000000005
2018-04-24,1,1,1,2,12.75
2018-04-26,79,2,78,620,321.02999999999975
2018-04-27,51,2,45,421,100.76
2018-04-29,42,1,42,385,111.37000000000003
2018-05-01,68,5,67,560,685.3400000000004
2018-05-03,196,2,182,1355,671.1200000000002
2018-05-06,165,3,160,1530,625.0900000000004
2018-05-07,54,2,53,356,315.7599999999998
2018-05-08,55,1,55,434,173.22999999999993
2018-05-10,24,1,24,281,79.69000000000001
2018-05-11,2,1,2,4,10.15
2018-05-14,56,1,56,415,191.9
2018-05-16,2,1,2,2,8.44
2018-05-17,28,2,27,180,226.84999999999994
2018-05-18,24,1,24,202,134.95000000000002
2018-05-21,30,1,30,243,138.22000000000006
2018-05-22,1,1,1,2,5.55
2018-05-23,69,1,69,509,266.06000000000006
2018-05-31,74,3,67,724,229.22999999999996
2018-06-07,2,1,2,7,3.9000000000000004
2018-06-08,70,2,66,563,316.88999999999993
2018-06-11,144,3,136,1156,651.0800000000002
2018-06-12,50,2,50,532,126.85000000000001
2018-06-13,7,1,7,36,77.2
2018-06-14,50,3,50,332,171.75000000000006
2018-06-17,5,1,5,72,29.119999999999997
2018-06-19,12,1,12,130,70.15
2018-06-20,83,3,76,546,487.23999999999984
2018-06-21,36,2,34,237,194.44999999999996
2018-06-22,40,1,40,271,208.76999999999998
2018-06-26,7,1,7,50,34.8
2018-06-27,71,6,68,467,530.9499999999998
2018-06-28,55,1,55,443,141.82999999999998
2018-07-02,13,1,13,137,104.25
2018-07-03,17,1,17,183,32.95
2018-07-04,108,3,105,971,320.55999999999983
2018-07-06,102,3,102,891,345.71
2018-07-09,41,2,40,304,258.7099999999999
2018-07-10,90,2,87,734,336.8300000000001
2018-07-11,82,4,76,691,350.4599999999999
2018-07-12,9,1,9,107,23.37
2018-07-13,54,5,52,442,252.65
2018-07-15,20,1,20,139,137.6
2018-07-16,1,1,1,1,8.5
2018-07-17,32,1,32,254,189.99999999999994
2018-07-18,1,1,1,2,12.8
2018-07-22,8,2,7,23,36.25
2018-07-23,11,3,10,81,1276.02
2018-07-24,17,1,17,161,112.54
2018-07-26,1,1,1,3,29.95
2018-07-27,33,2,33,246,108.52000000000001
2018-07-31,59,2,59,535,196.14999999999995
2018-08-02,77,1,73,322,314.57999999999987
2018-08-03,1,1,1,1,8.5
2018-08-05,21,1,21,206,55.60000000000001
2018-08-06,16,2,16,108,115.65
2018-08-08,2,2,2,3,77.27
2018-08-09,25,2,25,190,68.3
2018-08-10,28,1,28,194,136.09
2018-08-12,73,3,68,660,327.73
2018-08-15,69,2,65,815,179.14
2018-08-16,36,4,35,273,203.11
2018-08-17,67,4,61,514,357.2699999999999
2018-08-19,52,1,52,451,139.92
2018-08-20,48,3,46,361,163.31999999999994
2018-08-21,14,2,14,116,89.99000000000001
2018-08-23,25,1,25,175,135.26999999999998
2018-08-28,67,2,67,498,292.33999999999986
2018-08-29,1,1,1,0,1.45
2018-08-30,30,1,30,180,123.5
2018-09-02,50,1,49,429,152.36999999999995
2018-09-03,20,1,20,114,130.5
2018-09-04,52,1,52,493,108.39000000000006
2018-09-05,66,2,66,461,417.84999999999985
2018-09-06,2,1,2,4,2.17
2018-09-09,5,1,5,30,6.38
2018-09-10,39,3,39,410,128.74
2018-09-12,26,1,26,368,63.00000000000002
2018-09-13,63,2,61,462,245.81999999999996
2018-09-14,1,1,1,2,1.65
2018-09-17,95,4,87,867,771.7800000000007
2018-09-18,100,6,93,1008,260.76999999999987
