invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2017-11-28,41,3,38,343,134.25
2017-11-29,29,2,28,240,120.02000000000002
2017-11-30,31,2,30,121,98.15000000000002
2017-12-01,32,2,32,184,184.72999999999993
2017-12-03,23,1,23,227,76.38
2017-12-04,6,2,6,55,14.96
2017-12-05,36,3,33,141,179.6
2017-12-07,8,2,4,12,32.2
2017-12-10,76,3,71,645,237.2199999999999
2017-12-17,46,1,46,498,81.32999999999998
2017-12-18,9,1,9,58,41.5
2018-01-04,38,1,38,495,55.99
2018-01-05,125,3,121,1210,501.1899999999998
2018-01-10,44,3,44,306,490.6199999999999
2018-01-16,75,3,67,592,249.65999999999988
2018-01-23,29,2,29,273,121.66
2018-01-28,25,1,25,264,45.910000000000004
2018-01-31,29,1,29,266,99.84000000000002
2018-02-01,1,1,1,1,51.0
2018-02-04,50,1,50,476,106.14999999999999
2018-02-06,159,5,146,1558,384.0299999999997
2018-02-08,68,5,56,473,305.1499999999998
2018-02-09,18,1,18,152,112.49000000000001
2018-02-19,1,1,1,2,1.25
2018-02-20,57,3,56,494,223.2799999999999
2018-02-22,20,1,20,204,58.15
2018-02-26,37,1,37,336,92.27999999999999
2018-02-27,68,3,65,545,291.81000000000006
2018-02-28,21,3,20,161,68.93
2018-03-01,12,1,12,106,40.65000000000001
2018-03-02,19,1,19,164,65.79
2018-03-05,4,1,4,9,11.500000000000002
2018-03-06,45,2,41,391,145.36999999999995
2018-03-07,4,1,4,8,12.7
2018-03-09,27,2,26,143,109.45000000000005
2018-03-12,50,1,50,456,131.40999999999997
2018-03-15,61,1,61,505,168.37999999999988
2018-03-21,33,2,32,344,102.56999999999998
2018-03-22,10,1,10,100,26.620000000000005
2018-03-23,4,1,4,4,24.8
2018-03-27,4,1,4,11,12.399999999999999
2018-03-29,26,1,26,271,60.1
2018-04-04,9,1,9,87,19.080000000000002
2018-04-06,25,2,23,211,96.05000000000001
2018-04-11,53,2,47,437,196.16000000000003
