invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2017-11-29,23,2,22,240,49.33000000000001
2017-12-01,22,1,22,195,77.52000000000002
2017-12-05,51,1,51,51,104.15
2017-12-13,7,1,7,76,37.25
2017-12-15,52,1,52,634,116.01000000000002
2018-01-08,2,1,2,7,15.64
2018-01-12,9,2,8,85,47.15
2018-01-19,49,2,48,484,90.42000000000002
2018-01-23,91,2,90,966,184.23999999999995
2018-01-31,9,1,9,66,41.5
2018-02-15,59,4,58,681,1091.53
2018-02-21,4,1,4,35,10.169999999999998
2018-02-23,29,4,28,76,71.84000000000002
2018-02-26,1,1,1,4,2.1
2018-02-27,19,1,19,235,23.67
2018-03-05,10,1,10,101,27.700000000000006
2018-03-08,24,1,24,261,69.55000000000003
2018-03-09,32,3,32,394,88.97999999999999
2018-03-11,29,1,29,343,53.81
2018-03-12,1,1,1,24,1.65
2018-03-18,7,1,7,56,26.699999999999996
2018-03-22,7,1,7,59,33.940000000000005
2018-03-23,58,7,55,708,530.1200000000001
2018-03-29,31,1,31,323,44.95999999999999
2018-04-05,13,1,13,136,34.400000000000006
2018-04-06,18,1,18,145,55.800000000000004
2018-04-10,12,1,12,102,42.150000000000006
2018-04-13,27,1,27,258,70.99999999999997
2018-04-15,9,1,9,68,32.790000000000006
2018-04-17,20,1,20,152,60.740000000000016
2018-04-19,16,2,15,66,45.750000000000014
2018-04-27,37,1,37,289,371.91000000000014
2018-04-29,4,1,4,28,19.95
2018-05-03,113,3,87,1521,243.51999999999995
2018-05-07,14,1,14,169,38.1
2018-05-13,28,1,28,330,38.84
2018-05-21,73,1,73,661,201.2
2018-05-22,50,1,50,470,112.64
2018-05-31,73,2,69,540,216.4299999999998
2018-06-15,50,2,47,489,125.47
2018-06-19,8,2,8,54,40.8
2018-06-25,76,3,75,851,169.6599999999999
2018-06-26,10,1,10,75,33.849999999999994
2018-06-28,8,1,8,56,32.89999999999999
2018-07-04,31,1,31,285,88.96000000000002
2018-07-12,8,2,7,65,47.699999999999996
2018-07-16,48,1,48,545,135.70000000000005
2018-07-19,11,1,11,21,43.400000000000006
2018-07-22,3,1,3,17,19.599999999999998
2018-07-23,24,1,24,296,40.25000000000002
2018-07-24,45,1,42,101,103.57000000000002
2018-07-25,1,1,1,1,20.0
2018-08-01,20,1,20,257,41.19000000000002
2018-08-07,91,3,91,1145,454.6100000000001
2018-08-12,15,1,15,116,63.85000000000001
2018-08-14,68,1,68,706,184.7499999999999
2018-08-17,2,1,2,3,16.65
2018-08-21,13,1,13,196,24.189999999999998
2018-08-23,28,1,28,326,64.61000000000001
2018-08-28,27,2,26,123,42.44000000000001
2018-08-29,66,3,59,615,179.20000000000002
2018-08-30,25,2,25,254,63.01999999999999
2018-09-04,1,1,1,18,3.75
2018-09-05,1,1,1,1,25.0
2018-09-07,22,2,22,184,72.56000000000002
2018-09-11,13,1,13,125,43.06
2018-09-12,41,1,41,441,85.67999999999999
2018-09-16,22,1,22,197,48.800000000000004
2018-09-18,18,1,18,173,53.65000000000001
2018-09-20,1,1,1,1,10.0
2018-09-21,115,2,114,1368,260.90999999999985
2018-09-24,38,2,38,47,84.87000000000002
2018-09-25,41,1,41,366,91.57000000000001
2018-09-27,1,1,1,1,15.0
2018-09-28,20,2,20,199,20.020000000000003
2018-10-05,14,4,12,106,69.22
2018-10-10,79,2,79,988,114.39000000000004
2018-10-11,4,1,4,43,20.8
2018-10-12,1,1,1,20,1.65
2018-10-15,1,1,1,2,112.84
2018-10-19,25,2,24,246,61.13
2018-10-22,16,1,16,110,83.42999999999998
2018-10-23,9,1,9,77,30.54
2018-10-25,3,1,3,6,16.75
2018-10-31,80,4,75,875,243.81999999999988
2018-11-05,24,1,24,189,53.120000000000005
2018-11-08,55,1,55,587,99.79000000000003
2018-11-09,2,1,2,19,17.1
2018-11-13,6,1,6,70,21.310000000000002
2018-11-14,38,2,38,499,83.01000000000002
2018-11-15,42,2,41,356,119.51
2018-11-19,94,2,94,237,190.0099999999999
2018-11-20,22,1,22,186,64.25
2018-11-21,25,2,25,141,315.65999999999997
2018-11-26,30,3,30,349,69.14000000000001
2018-11-27,52,3,52,482,89.96999999999998
2018-11-28,4,1,2,37,33.7
2018-12-17,16,1,16,46,46.330000000000005
2018-12-18,54,1,54,525,98.51
2019-01-11,79,1,79,876,125.58000000000001
2019-01-16,33,1,33,377,56.78000000000001
2019-01-17,2,1,2,24,2.12
2019-01-18,106,1,106,1214,235.99999999999994
2019-01-28,9,1,9,97,23.14
2019-01-29,12,1,12,80,53.550000000000004
2019-01-31,1,1,1,4,1.45
2019-02-05,15,2,14,128,46.269999999999996
2019-02-18,119,2,118,1440,273.6599999999999
2019-02-19,44,1,44,514,62.6
2019-03-06,27,1,27,198,76.57000000000001
2019-03-11,8,1,8,57,41.51000000000001
2019-03-19,12,1,12,99,49.29000000000001
2019-03-22,22,2,21,250,81.07
2019-03-26,104,2,103,1378,272.6500000000001
2019-03-27,16,1,16,261,28.38
2019-04-02,15,2,15,208,28.019999999999992
2019-04-25,9,1,9,132,26.91
2019-05-08,9,2,8,125,53.349999999999994
2019-05-09,108,3,106,1263,274.65000000000003
2019-05-15,5,1,5,63,21.679999999999996
2019-05-17,13,1,13,104,68.19
2019-05-22,1,1,1,7,1.45
2019-05-23,50,1,50,535,141.38000000000002
2019-05-28,29,2,28,205,115.6
2019-05-29,26,2,23,309,76.63
2019-05-31,15,1,15,122,34.699999999999996
2019-06-03,25,1,25,233,63.00000000000001
2019-06-06,6,2,6,47,19.750000000000004
