invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2017-11-28,79,1,79,771,208.74999999999986
2017-12-05,19,1,19,121,85.60000000000002
2018-01-23,2,2,1,3,130.85
2018-01-29,24,2,24,192,83.57000000000001
2018-02-07,4,1,4,43,30.12
2018-02-27,35,2,35,194,259.78999999999996
2018-03-05,1,1,1,4,7.95
2018-03-20,2,2,2,5,7.5
2018-03-21,64,1,64,669,156.48999999999998
2018-04-26,6,2,6,19,11.78
2018-05-20,22,1,22,107,161.95
2018-05-21,12,2,6,72,24.22
2018-06-01,4,1,4,4,19.7
2018-06-06,35,1,35,348,91.57000000000004
2018-06-19,23,1,23,131,146.45
2018-06-20,22,1,22,148,100.79
2018-06-25,72,1,72,541,263.11999999999983
2018-07-05,16,1,16,72,96.85000000000001
2018-08-08,15,1,15,104,84.85000000000001
2018-08-23,10,1,10,85,46.89000000000001
2018-08-29,1,1,1,0,4.95
2018-08-31,12,1,12,95,31.1
2018-09-03,36,1,36,321,80.50000000000004
2018-09-13,38,1,38,285,143.85000000000002
2018-09-14,55,1,55,463,126.47000000000006
2018-09-21,5,1,5,5,8.450000000000001
2018-09-23,5,1,5,16,8.45
2018-09-25,5,1,5,8,8.45
2018-09-27,7,1,7,39,22.65
2018-10-02,4,1,4,13,9.4
2018-10-05,14,1,14,98,65.6
2018-10-08,80,3,78,731,270.5799999999998
2018-10-19,1,1,1,1,4.95
2018-10-25,66,1,66,642,126.86000000000007
2018-10-30,1,1,1,1,5.95
2018-10-31,20,1,20,166,73.65
2018-11-06,17,1,17,140,73.20000000000002
2018-11-08,20,1,20,233,93.65
2018-11-13,26,1,26,201,88.95000000000002
2018-11-14,4,2,4,12,23.099999999999998
2018-11-21,104,2,95,286,323.2200000000001
2018-11-23,11,1,11,83,50.400000000000006
2018-11-27,22,1,22,163,87.53999999999999
2018-11-30,14,1,7,130,76.80000000000001
2018-12-03,14,1,7,106,80.20000000000003
2018-12-05,106,1,53,831,384.4399999999999
2018-12-06,26,1,13,198,133.74
2018-12-07,14,1,14,115,67.60000000000001
2018-12-11,4,2,4,10,8.7
2018-12-14,22,1,22,165,84.42000000000002
2019-01-02,4,1,4,2,13.399999999999999
2019-01-06,52,2,51,471,174.81000000000006
2019-01-15,36,1,36,479,114.18
2019-01-23,30,1,30,210,122.94
2019-02-18,43,1,43,346,160.82999999999998
2019-02-25,14,1,14,104,56.15000000000001
2019-03-05,56,1,56,603,113.40000000000002
2019-03-20,16,1,16,105,44.650000000000006
2019-03-21,1,1,1,1,27.0
2019-03-25,25,1,25,197,87.74000000000002
2019-03-28,16,1,16,157,62.09000000000001
2019-04-05,21,1,21,191,50.99000000000001
2019-04-10,56,1,56,497,163.87
2019-05-09,78,3,75,299,1279.4600000000014
2019-05-20,7,7,1,8,6098.360000000001
2019-06-04,14,1,14,146,23.65
2019-06-05,9,1,9,55,31.9
2019-06-12,25,1,25,186,110.23
2019-06-21,1,1,1,4,4.95
2019-07-10,61,2,56,607,150.72000000000003
2019-07-17,28,1,28,336,49.48999999999999
2019-07-31,1,1,1,1,1.25
