invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2017-11-28,3223,166,1345,15047,14450.540000000325
2017-11-29,3277,133,1397,14159,13411.960000000328
2017-11-30,3002,150,1335,15766,13290.250000000262
2017-12-01,2559,107,1256,12524,9687.280000000057
2017-12-02,402,32,287,3313,1443.2600000000011
2017-12-03,1942,90,977,8544,6432.939999999952
2017-12-04,2869,123,1354,12751,13137.500000000222
2017-12-05,2440,170,1196,12604,9467.010000000033
2017-12-06,2470,114,1308,10510,11268.54000000006
2017-12-07,2492,123,1229,11985,10976.600000000073
2017-12-08,1542,121,876,7922,4898.319999999972
2017-12-10,1776,77,980,8521,4982.869999999973
2017-12-11,4117,122,1596,17017,19866.98000000031
2017-12-12,2004,123,1031,11127,10012.130000000036
2017-12-13,3216,106,1421,14280,15879.660000000289
2017-12-14,1965,162,1067,9505,7701.579999999948
2017-12-15,2057,84,1123,8973,10970.560000000138
2017-12-17,637,40,468,4013,1964.7900000000047
2017-12-18,645,52,467,3212,2846.579999999992
2017-12-19,2053,203,1146,5218,13350.100000000077
2017-12-20,540,32,377,3028,2268.309999999997
2018-01-01,668,70,521,3005,1966.550000000005
2018-01-02,938,46,634,5603,3061.269999999997
2018-01-03,294,14,250,1994,965.8500000000016
2018-01-04,1065,87,695,8499,3373.1599999999894
2018-01-05,719,49,505,5463,4979.929999999986
2018-01-07,704,37,489,4702,2080.1000000000076
2018-01-08,2688,74,1082,8682,14429.400000000163
2018-01-09,1107,65,775,5678,3799.5799999999917
2018-01-10,1644,64,927,5706,11600.810000000054
2018-01-11,2230,87,1062,9615,12228.63000000008
2018-01-12,662,53,441,4534,2084.960000000004
2018-01-14,1116,41,684,5700,3438.3099999999854
2018-01-15,1908,50,1008,6112,8908.330000000016
2018-01-16,1859,51,1068,8924,7847.690999999996
2018-01-17,1224,80,810,5168,7021.909999999994
2018-01-18,1228,88,780,7288,3854.5999999999813
2018-01-19,1520,77,888,8369,9419.020000000019
2018-01-21,1271,52,706,5892,4022.2299999999764
2018-01-22,1699,72,920,7689,7017.8099999999695
2018-01-23,1588,168,853,8009,15461.130000000103
2018-01-24,1560,85,887,7649,6385.549999999985
2018-01-25,1254,83,752,7821,3804.139999999985
2018-01-26,1209,82,718,6193,23966.84099999995
2018-01-28,1400,58,796,7490,3953.5599999999804
2018-01-29,1399,82,841,6337,7421.110999999983
2018-01-30,1177,60,744,7143,4616.5299999999725
2018-01-31,1551,150,949,7229,5971.390999999984
2018-02-01,1590,143,894,8239,4837.899999999967
2018-02-02,1077,147,710,5556,4328.159999999993
2018-02-04,844,35,558,3803,2310.459999999998
2018-02-05,1373,75,789,6617,6838.369999999995
2018-02-06,1058,58,670,6954,3607.209999999988
2018-02-07,884,38,627,2974,4111.6899999999805
2018-02-08,871,101,554,4781,2901.149999999991
2018-02-09,824,75,612,4153,3009.969999999987
2018-02-11,1194,51,710,6478,3554.9899999999825
2018-02-12,899,55,571,6991,5680.740999999991
2018-02-13,1950,109,1095,9178,8022.729999999969
2018-02-14,1050,64,676,6888,3361.3899999999853
2018-02-15,1390,91,788,8389,5028.669999999965
2018-02-16,1634,64,923,5494,7938.450000000003
2018-02-18,981,60,616,4351,3367.130999999978
2018-02-19,1156,86,695,8322,3731.489999999982
2018-02-20,1214,88,768,6589,4217.939999999986
2018-02-21,1390,123,836,6950,5192.740999999978
2018-02-22,1561,91,870,9503,5217.099999999964
2018-02-23,1028,65,704,4703,7546.430999999987
2018-02-25,1293,58,739,5616,3960.7899999999745
2018-02-26,1230,97,804,7039,4471.599999999968
2018-02-27,1619,137,976,7563,6904.309999999994
2018-02-28,1763,84,1024,10398,6203.959999999964
2018-03-01,1937,102,1009,11677,7608.819999999953
2018-03-02,1269,86,772,6456,5063.209999999978
2018-03-04,1802,67,1083,8424,6232.909999999957
2018-03-05,1972,109,1068,8910,9686.82999999994
2018-03-06,1254,105,784,7080,6752.6799999999685
2018-03-07,1607,84,934,8572,6373.6099999999915
2018-03-08,1319,76,858,6657,5420.859999999985
2018-03-09,932,54,661,5351,3744.0900000000015
2018-03-11,669,25,447,2964,1817.5800000000036
2018-03-12,1690,82,979,7051,7573.530999999985
2018-03-13,1396,94,831,7229,5195.8999999999705
2018-03-14,1293,56,778,7873,4263.499999999966
2018-03-15,1591,97,847,9830,6450.7199999999775
2018-03-16,1408,92,757,7221,48929.06999999991
2018-03-18,1392,64,799,6922,4007.2199999999752
2018-03-19,1553,104,896,8340,6600.9699999999675
2018-03-20,1315,84,751,6541,52515.16999999939
2018-03-21,1594,117,871,8893,9218.690000000033
2018-03-22,1899,112,946,10163,19204.28000000016
2018-03-23,1388,86,884,7721,5331.209999999987
2018-03-25,1838,60,904,9368,4761.22999999998
2018-03-26,1983,98,1035,9528,8616.999999999964
2018-03-27,1900,108,1011,10054,7485.14999999996
2018-03-28,1898,87,954,8989,7870.139999999959
2018-03-29,1719,113,927,9504,6704.069999999963
2018-04-03,1106,67,700,5633,3875.0999999999694
2018-04-04,1385,72,829,7822,4907.66999999996
2018-04-05,2024,96,1023,11108,7273.149999999966
2018-04-06,919,57,600,5416,3490.169999999985
2018-04-08,1114,44,664,6339,3202.429999999993
2018-04-09,1012,86,610,6696,3510.4709999999855
2018-04-10,1318,92,756,6755,4270.259999999978
2018-04-11,1129,64,625,7653,3469.879999999987
2018-04-12,1162,89,657,7518,24266.590000000095
2018-04-13,869,48,588,5843,2551.879999999999
2018-04-15,1457,57,752,6665,5620.1399999999785
2018-04-16,3132,86,1257,11913,15653.439999999906
2018-04-17,1540,78,828,8039,13939.590000000082
2018-04-18,1325,86,740,8183,8380.569999999992
2018-04-19,1549,132,813,9964,17109.400000000045
2018-04-20,1157,70,667,6662,5920.14999999999
2018-04-22,1339,50,731,6233,4403.149999999973
2018-04-23,1962,120,931,9368,9095.379999999965
2018-04-24,1686,106,850,11172,5622.5599999999595
2018-04-25,1787,79,905,11301,5885.789999999979
2018-04-26,2058,106,1046,11371,-44990.04900000062
2018-04-27,1308,94,755,6686,6546.579999999978
2018-04-29,845,43,534,4605,2638.0399999999954
2018-05-01,1458,101,827,7530,7857.459999999983
2018-05-02,1591,117,837,7896,7172.599999999967
2018-05-03,2132,128,979,13295,9737.41000000004
2018-05-04,1365,88,815,9541,4199.14999999997
2018-05-06,1755,64,900,8595,5212.679999999965
2018-05-07,1702,120,953,9179,8630.930000000006
2018-05-08,1786,180,1006,10506,6422.699999999971
2018-05-09,1316,138,804,7830,4590.299999999984
2018-05-10,1417,95,784,7773,5524.289999999971
2018-05-11,952,106,591,4744,3864.489999999982
2018-05-13,1519,47,832,5825,4613.419999999965
2018-05-14,1489,146,850,7764,5299.489999999961
2018-05-15,1532,91,835,6906,6128.839999999955
2018-05-16,1247,80,726,6176,4618.06999999998
2018-05-17,1625,88,856,9303,6635.789999999964
2018-05-18,1362,125,859,6183,6199.099999999974
