invoice_date,purchases,unique_invoices,unique_streams,total_views,revenue
2017-11-28,2953,154,1291,12922,13281.120000000281
2017-11-29,3217,125,1389,13650,13222.97000000031
2017-11-30,2911,144,1318,15243,12941.500000000246
2017-12-01,2443,100,1221,11652,9163.070000000029
2017-12-02,370,31,263,3101,1263.2800000000009
2017-12-03,1888,87,964,8096,6229.109999999952
2017-12-04,2684,110,1301,11202,12189.79000000019
2017-12-05,2283,157,1151,11906,8892.26999999999
2017-12-06,2423,108,1292,10071,10886.990000000053
2017-12-07,2403,116,1192,11572,10651.38000000005
2017-12-08,1535,117,875,7902,4864.069999999974
2017-12-10,1678,71,935,7685,4568.1999999999825
2017-12-11,3851,113,1568,14845,19097.67000000029
2017-12-12,1896,119,1000,10331,9518.670000000011
2017-12-13,3137,101,1409,13689,15610.170000000273
2017-12-14,1944,157,1062,9346,6003.739999999948
2017-12-15,1732,71,1011,6557,9560.020000000062
2017-12-17,573,37,418,3381,1811.5100000000054
2017-12-18,576,49,427,2473,2650.7099999999955
2017-12-19,2032,202,1136,5056,13254.540000000074
2017-12-20,328,29,286,1089,1580.2900000000013
2018-01-01,663,68,520,2993,1936.2600000000048
2018-01-02,938,46,634,5603,3061.269999999997
2018-01-03,294,14,250,1994,965.8500000000016
2018-01-04,846,78,586,6108,2777.019999999998
2018-01-05,533,41,380,3793,1893.6700000000042
2018-01-07,676,36,475,4464,1969.560000000007
2018-01-08,2605,63,1057,7931,12781.810000000072
2018-01-09,1017,60,730,4806,3535.1299999999956
2018-01-10,1552,51,892,5034,7670.260000000009
2018-01-11,2141,83,1022,8905,11974.440000000066
2018-01-12,554,45,375,3715,1699.2700000000045
2018-01-14,1116,41,684,5700,3438.3099999999854
2018-01-15,1879,48,993,5934,8679.83000000001
2018-01-16,1639,44,990,7538,7036.980999999999
2018-01-17,1207,74,809,5001,4729.539999999989
2018-01-18,1095,85,712,5824,3402.0599999999918
2018-01-19,1186,66,766,5568,5207.340000000002
2018-01-21,1231,51,685,5560,3918.159999999978
